County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
JOHNSTON,5/17/22,OS CLAYTON,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,0,1,0,0,1,N
JOHNSTON,5/17/22,OS CLEVELAND,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLEVELAND,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,ABSENTEE,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,0,0,5,0,5,N
JOHNSTON,5/17/22,PR27B,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,5,0,0,0,5,Y
JOHNSTON,5/17/22,OS ARCHER LODGE,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,0,1,0,0,1,N
JOHNSTON,5/17/22,OS SMITHFIELD,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Write-In (Miscellaneous),,1,0,3,0,0,3,N
JOHNSTON,5/17/22,OS SMITHFIELD,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,0,155,0,0,155,N
JOHNSTON,5/17/22,OS SMITHFIELD,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,0,8,0,0,8,N
JOHNSTON,5/17/22,OS SMITHFIELD,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,39,0,0,39,N
JOHNSTON,5/17/22,PROVISIONAL,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PROVISIONAL,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PROVISIONAL,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PROVISIONAL,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PROVISIONAL,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,66,0,0,0,66,Y
JOHNSTON,5/17/22,PR28,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,6,0,0,0,6,Y
JOHNSTON,5/17/22,OS ARCHER LODGE,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS ARCHER LODGE,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PR27B,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,81,0,0,0,81,Y
JOHNSTON,5/17/22,PR27A,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,114,0,0,0,114,Y
JOHNSTON,5/17/22,PR26,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,13,0,0,0,13,Y
JOHNSTON,5/17/22,PR27A,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,7,0,0,0,7,Y
JOHNSTON,5/17/22,PR27B,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,4,0,0,0,4,Y
JOHNSTON,5/17/22,PR26,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Write-In (Miscellaneous),,1,1,0,0,0,1,Y
JOHNSTON,5/17/22,PR26,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,1,0,0,0,1,Y
JOHNSTON,5/17/22,PR27A,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,21,0,0,0,21,Y
JOHNSTON,5/17/22,PR28,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,291,0,0,0,291,Y
JOHNSTON,5/17/22,PR28,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
JOHNSTON,5/17/22,PROVISIONAL,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,TRANSFER,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,1,0,0,0,1,N
JOHNSTON,5/17/22,ABSENTEE,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLAYTON,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLEVELAND,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,0,2,0,0,2,N
JOHNSTON,5/17/22,ABSENTEE,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,ABSENTEE,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLAYTON,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Elizabeth Anne Temple, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PR27A,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,1,0,0,0,1,Y
JOHNSTON,5/17/22,PROVISIONAL,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLEVELAND,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLEVELAND,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Elizabeth Anne Temple, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLAYTON,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,1,0,0,1,N
JOHNSTON,5/17/22,OS CLAYTON,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,0,0,0,0,0,N
JOHNSTON,11/7/23,PR24,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,2,3,0,0,5,Y
