,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
3379,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,9,7,0,0,16,Y
3380,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,90,72,0,0,162,Y
3381,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,120,80,0,0,200,Y
3382,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,69,10,0,0,79,Y
3383,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,74,63,0,0,137,Y
3384,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,11,1,0,0,12,Y
3385,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,28,4,0,0,32,Y
3387,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,72,30,0,0,102,Y
3389,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,11,7,0,0,18,Y
3425,MECKLENBURG,11/7/23,137,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,277,43,0,0,320,Y
3426,MECKLENBURG,11/7/23,137,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,191,41,0,0,232,Y
3427,MECKLENBURG,11/7/23,137,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,81,27,0,0,108,Y
3428,MECKLENBURG,11/7/23,137,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,275,32,0,0,307,Y
