,Unnamed: 0,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,blockid,total_vap,hs_grad,scol_nd,bach_deg
1083,1083,1089,215,215,MECKLENBURG,,60,,3739.0,739.0,697.0,1331.0
1084,1084,1090,216,216,MECKLENBURG,,60,,6697.0,1599.0,1325.0,2263.0
1085,1085,1130,237,237,MECKLENBURG,,60,,5163.0,1063.0,1106.0,1296.0
1086,1086,1091,217,217,MECKLENBURG,,60,,3199.0,537.0,565.0,1272.0
1087,1087,1093,219,219,MECKLENBURG,,60,,2581.0,615.0,685.0,403.0
1089,1089,1131,238.1,238.1,MECKLENBURG,,60,,1332.0,239.0,420.0,337.0
1100,1100,1103,220,220,MECKLENBURG,,60,,4311.0,939.0,1182.0,1081.0
1101,1101,1104,221,221,MECKLENBURG,,60,,4511.0,1046.0,906.0,1401.0
1102,1102,1105,222,222,MECKLENBURG,,60,,5603.0,1142.0,1794.0,1013.0
1103,1103,1106,223.1,223.1,MECKLENBURG,,60,,8086.0,1685.0,1928.0,2438.0
1104,1104,1107,224,224,MECKLENBURG,,60,,2371.0,625.0,399.0,500.0
1105,1105,1108,225,225,MECKLENBURG,,60,,3078.0,617.0,754.0,835.0
1106,1106,1109,226,226,MECKLENBURG,,60,,3364.0,493.0,669.0,1377.0
1109,1109,1110,227,227,MECKLENBURG,,60,,7671.0,1089.0,1328.0,3144.0
1113,1113,1111,228,228,MECKLENBURG,,60,,5365.0,1049.0,1082.0,1877.0
1115,1115,1112,229,229,MECKLENBURG,,60,,11691.0,1735.0,2769.0,4069.0
1125,1125,1123,230,230,MECKLENBURG,,60,,11593.0,2234.0,2667.0,3662.0
1126,1126,1124,231,231,MECKLENBURG,,60,,5090.0,691.0,1420.0,1908.0
1127,1127,1125,232,232,MECKLENBURG,,60,,5032.0,433.0,970.0,2106.0
1128,1128,1126,233,233,MECKLENBURG,,60,,4091.0,618.0,621.0,1743.0
1129,1129,1127,234,234,MECKLENBURG,,60,,3847.0,1202.0,756.0,927.0
1130,1130,1128,235,235,MECKLENBURG,,60,,1682.0,412.0,445.0,317.0
1131,1131,1129,236,236,MECKLENBURG,,60,,5742.0,1104.0,1340.0,1839.0
1132,1132,1132,239,239,MECKLENBURG,,60,,3240.0,460.0,722.0,1016.0
1144,1144,1143,240,240,MECKLENBURG,,60,,7642.0,896.0,1604.0,2792.0
1145,1145,1144,241,241,MECKLENBURG,,60,,7966.0,1229.0,1214.0,2918.0
1153,1153,1145,242,242,MECKLENBURG,,60,,4577.0,475.0,814.0,1941.0
1154,1154,1146,243,243,MECKLENBURG,,60,,12455.0,2254.0,2746.0,3831.0
