county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
MECKLENBURG,11/07/2023,voter,144,144,REP,W,HL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,024,024,UNA,B,UN,U,Age 18 - 25,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,038,038,UNA,W,HL,M,Age 26 - 40,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,060,060,DEM,W,NL,M,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,216,216,REP,B,NL,U,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,211,211,DEM,U,UN,F,Age 41 - 65,14,11/27/2023,
MECKLENBURG,11/07/2023,voter,134,134,UNA,O,UN,F,Age 18 - 25,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,223.1,223.1,DEM,W,UN,F,Age Over 66,11,11/27/2023,
MECKLENBURG,11/07/2023,voter,148,148,DEM,O,HL,M,Age 26 - 40,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,239,239,UNA,A,NL,F,Age 41 - 65,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,095,095,DEM,B,NL,M,Age 26 - 40,78,11/27/2023,
MECKLENBURG,11/07/2023,voter,226,226,REP,O,HL,U,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,098,098,UNA,U,UN,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,120,120,DEM,B,HL,F,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,057,057,UNA,I,NL,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,090,090,UNA,B,UN,M,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,133,133,UNA,B,NL,F,Age 26 - 40,8,11/27/2023,
MECKLENBURG,11/07/2023,voter,132,132,DEM,W,HL,F,Age 41 - 65,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,071,071,UNA,W,HL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,119,119,UNA,O,UN,M,Age 26 - 40,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,223.1,223.1,REP,W,HL,F,Age 26 - 40,3,11/27/2023,
