,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
7397,MECKLENBURG,11/7/23,57,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,257,225,0,0,482,Y
7431,MECKLENBURG,11/7/23,58,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,217,111,0,0,328,Y
7433,MECKLENBURG,11/7/23,58,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,198,104,0,0,302,Y
7439,MECKLENBURG,11/7/23,58,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,205,105,0,0,310,Y
7445,MECKLENBURG,11/7/23,58,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,104,37,0,0,141,Y
7447,MECKLENBURG,11/7/23,58,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,221,116,0,0,337,Y
7481,MECKLENBURG,11/7/23,59,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,174,77,0,0,251,Y
7483,MECKLENBURG,11/7/23,59,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,167,66,0,0,233,Y
7489,MECKLENBURG,11/7/23,59,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,169,66,0,0,235,Y
7495,MECKLENBURG,11/7/23,59,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,92,28,0,0,120,Y
7497,MECKLENBURG,11/7/23,59,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,187,77,0,0,264,Y
7531,MECKLENBURG,11/7/23,60,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,158,169,0,0,327,Y
7533,MECKLENBURG,11/7/23,60,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,170,170,0,0,340,Y
7539,MECKLENBURG,11/7/23,60,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,170,172,0,0,342,Y
7545,MECKLENBURG,11/7/23,60,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,34,20,0,0,54,Y
7547,MECKLENBURG,11/7/23,60,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,164,170,0,0,334,Y
7582,MECKLENBURG,11/7/23,61,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,204,110,0,0,314,Y
7584,MECKLENBURG,11/7/23,61,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,201,113,0,0,314,Y
7590,MECKLENBURG,11/7/23,61,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,195,110,0,0,305,Y
7596,MECKLENBURG,11/7/23,61,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,54,14,0,0,68,Y
