county_id,county,election_dt,result_type_lbl,result_type_desc,contest_id,contest_title,contest_party_lbl,contest_vote_for,precinct_code,precinct_name,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,vote_ct
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,OVER VOTE,,1,ELECTION DAY,V,Election Day,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,OVER VOTE,,2,ONE-STOP,O,Absentee: One-Stop,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,OVER VOTE,,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,OVER VOTE,,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,OVER VOTE,,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,UNDER VOTE,,1,ELECTION DAY,V,Election Day,95
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,UNDER VOTE,,2,ONE-STOP,O,Absentee: One-Stop,64
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,UNDER VOTE,,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,UNDER VOTE,,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,UNDER VOTE,,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,Write-In (Miscellaneous),NON,1,ELECTION DAY,V,Election Day,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,Write-In (Miscellaneous),NON,2,ONE-STOP,O,Absentee: One-Stop,1
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,Write-In (Miscellaneous),NON,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,Write-In (Miscellaneous),NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,0,Write-In (Miscellaneous),NON,5,TRANSFER,T,Election Day: Transfer,0
