county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
RANDOLPH,11/07/2023,voter,TR,37,REP,O,UN,M,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AW,12,UNA,U,UN,M,Age 18 - 25,6,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,REP,O,HL,M,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,PR,30,UNA,U,UN,U,Age 26 - 40,11,11/27/2023,
RANDOLPH,11/07/2023,voter,GR,21,DEM,U,UN,M,Age 18 - 25,3,11/27/2023,
RANDOLPH,11/07/2023,voter,SW,18,UNA,W,NL,F,Age 18 - 25,16,11/27/2023,
RANDOLPH,11/07/2023,voter,LB,23,UNA,U,HL,F,Age 26 - 40,3,11/27/2023,
RANDOLPH,11/07/2023,voter,SW,18,REP,W,UN,M,Age 18 - 25,32,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,04,UNA,U,UN,U,Age 18 - 25,8,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,15,DEM,U,HL,F,Age 18 - 25,4,11/27/2023,
RANDOLPH,11/07/2023,voter,BC,13,UNA,W,NL,M,Age 41 - 65,123,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,05,DEM,B,NL,F,Age 26 - 40,35,11/27/2023,
RANDOLPH,11/07/2023,voter,LB,23,DEM,O,UN,M,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,40,REP,O,UN,M,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,DR,20,UNA,U,UN,M,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,SO,14,UNA,B,UN,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,SO,34,REP,W,NL,U,Age 26 - 40,2,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,33,REP,W,NL,F,Age Over 66,92,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,DEM,B,UN,M,Age 26 - 40,7,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,06,DEM,O,HL,M,Age Over 66,4,11/27/2023,
