,Unnamed: 0,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
106,3283,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,141,96,0,0,237,Y
107,3284,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,23,10,0,0,33,Y
108,3285,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,51,17,0,0,68,Y
109,3287,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,84,55,0,0,139,Y
110,3289,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,22,6,0,0,28,Y
111,3324,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,75,29,0,0,104,Y
112,3325,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,115,50,0,0,165,Y
113,3326,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,42,17,0,0,59,Y
114,3327,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,101,43,0,0,144,Y
115,3328,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,33,20,0,0,53,Y
116,3329,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,14,4,0,0,18,Y
117,3330,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,117,58,0,0,175,Y
118,3331,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,152,56,0,0,208,Y
119,3332,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,84,30,0,0,114,Y
120,3333,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,99,41,0,0,140,Y
121,3334,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,17,3,0,0,20,Y
122,3335,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,13,18,0,0,31,Y
123,3337,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,73,28,0,0,101,Y
124,3339,MECKLENBURG,11/7/23,071,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,13,3,0,0,16,Y
125,3374,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,78,12,0,0,90,Y
126,3375,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,107,35,0,0,142,Y
127,3376,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,56,10,0,0,66,Y
128,3377,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,118,34,0,0,152,Y
129,3378,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,31,20,0,0,51,Y
130,3379,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,9,7,0,0,16,Y
131,3380,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,90,72,0,0,162,Y
132,3381,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,120,80,0,0,200,Y
133,3382,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,69,10,0,0,79,Y
134,3383,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,74,63,0,0,137,Y
135,3384,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,11,1,0,0,12,Y
136,3385,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,28,4,0,0,32,Y
137,3387,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,72,30,0,0,102,Y
138,3389,MECKLENBURG,11/7/23,072,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,11,7,0,0,18,Y
139,3425,MECKLENBURG,11/7/23,137,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,277,43,0,0,320,Y
