,county_desc,election_date,stats_type,precinct_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
7727,RANDOLPH,11/07/2023,voter,SW,UNA,W,NL,U,Age 18 - 25,1,11/27/2023
7916,RANDOLPH,11/07/2023,voter,RN,UNA,U,UN,M,Age 26 - 40,2,11/27/2023
7993,RANDOLPH,11/07/2023,voter,NM,REP,W,UN,F,Age 41 - 65,38,11/27/2023
8127,RANDOLPH,11/07/2023,voter,NM,UNA,W,NL,M,Age 18 - 25,14,11/27/2023
8238,RANDOLPH,11/07/2023,voter,AW,REP,W,NL,U,Age 26 - 40,2,11/27/2023
8265,RANDOLPH,11/07/2023,voter,RM,UNA,I,NL,M,Age 41 - 65,1,11/27/2023
8409,RANDOLPH,11/07/2023,voter,NM,UNA,A,UN,F,Age 26 - 40,1,11/27/2023
8457,RANDOLPH,11/07/2023,voter,LB,UNA,W,NL,M,Age Over 66,50,11/27/2023
8562,RANDOLPH,11/07/2023,voter,AW,REP,W,NL,M,Age 18 - 25,9,11/27/2023
8667,RANDOLPH,11/07/2023,voter,TR,DEM,A,UN,M,Age Over 66,2,11/27/2023
8710,RANDOLPH,11/07/2023,voter,TT,UNA,A,UN,M,Age 41 - 65,1,11/27/2023
8726,RANDOLPH,11/07/2023,voter,TT,DEM,O,HL,M,Age 18 - 25,1,11/27/2023
8746,RANDOLPH,11/07/2023,voter,AR,UNA,W,NL,M,Age 41 - 65,133,11/27/2023
8780,RANDOLPH,11/07/2023,voter,RN,REP,W,UN,F,Age 26 - 40,92,11/27/2023
8834,RANDOLPH,11/07/2023,voter,AN,UNA,O,HL,F,Age 41 - 65,6,11/27/2023
8865,RANDOLPH,11/07/2023,voter,SE,UNA,U,UN,M,Age 26 - 40,2,11/27/2023
8894,RANDOLPH,11/07/2023,voter,AN,DEM,I,UN,F,Age 41 - 65,1,11/27/2023
8911,RANDOLPH,11/07/2023,voter,TT,DEM,U,UN,M,Age 18 - 25,2,11/27/2023
9064,RANDOLPH,11/07/2023,voter,AN,UNA,B,NL,M,Age 26 - 40,4,11/27/2023
9191,RANDOLPH,11/07/2023,voter,DR,DEM,B,UN,F,Age 26 - 40,3,11/27/2023
9208,RANDOLPH,11/07/2023,voter,AE,DEM,B,UN,M,Age 18 - 25,7,11/27/2023
9223,RANDOLPH,11/07/2023,voter,UG,UNA,W,NL,M,Age 18 - 25,11,11/27/2023
9250,RANDOLPH,11/07/2023,voter,UG,DEM,O,HL,M,Age 41 - 65,4,11/27/2023
9251,RANDOLPH,11/07/2023,voter,RN,REP,U,UN,U,Age 41 - 65,38,11/27/2023
9280,RANDOLPH,11/07/2023,voter,AW,DEM,B,UN,F,Age 26 - 40,17,11/27/2023
9411,RANDOLPH,11/07/2023,voter,TB,DEM,B,UN,F,Age Over 66,1,11/27/2023
9438,RANDOLPH,11/07/2023,voter,,LIB,W,NL,F,Age 18 - 25,1,11/27/2023
9449,RANDOLPH,11/07/2023,voter,BC,UNA,U,UN,U,Age 18 - 25,8,11/27/2023
9490,RANDOLPH,11/07/2023,voter,TT,DEM,U,UN,F,Age 26 - 40,2,11/27/2023
9578,RANDOLPH,11/07/2023,voter,GR,REP,I,NL,F,Age Over 66,1,11/27/2023
